Fold,Accuracy,Precision,Recall,F1-Score,Timestamp,Modelo,Tipo_preprocesamiento,Metodo_validacion,batch_size,epochs,lr,opt
0,0.6129032258064516,0.3548387096774194,0.3548387096774194,0.3548387096774194,20250428_043701,DNN,Potencia por banda γ,LOOCV,32,60,0.001,adam
1,0.0,0.0,0.0,0.0,20250428_043701,DNN,Potencia por banda γ,LOOCV,32,60,0.001,adam
2,1.0,0.0,0.0,0.0,20250428_043701,DNN,Potencia por banda γ,LOOCV,32,60,0.001,adam
3,0.0,0.0,0.0,0.0,20250428_043701,DNN,Potencia por banda γ,LOOCV,32,60,0.001,adam
4,0.0,0.0,0.0,0.0,20250428_043701,DNN,Potencia por banda γ,LOOCV,32,60,0.001,adam
5,1.0,0.0,0.0,0.0,20250428_043701,DNN,Potencia por banda γ,LOOCV,32,60,0.001,adam
6,1.0,0.0,0.0,0.0,20250428_043701,DNN,Potencia por banda γ,LOOCV,32,60,0.001,adam
7,1.0,0.0,0.0,0.0,20250428_043701,DNN,Potencia por banda γ,LOOCV,32,60,0.001,adam
8,1.0,0.0,0.0,0.0,20250428_043701,DNN,Potencia por banda γ,LOOCV,32,60,0.001,adam
9,0.0,0.0,0.0,0.0,20250428_043701,DNN,Potencia por banda γ,LOOCV,32,60,0.001,adam
10,1.0,0.0,0.0,0.0,20250428_043701,DNN,Potencia por banda γ,LOOCV,32,60,0.001,adam
11,0.0,0.0,0.0,0.0,20250428_043701,DNN,Potencia por banda γ,LOOCV,32,60,0.001,adam
12,1.0,0.0,0.0,0.0,20250428_043701,DNN,Potencia por banda γ,LOOCV,32,60,0.001,adam
13,1.0,0.0,0.0,0.0,20250428_043701,DNN,Potencia por banda γ,LOOCV,32,60,0.001,adam
14,0.0,0.0,0.0,0.0,20250428_043701,DNN,Potencia por banda γ,LOOCV,32,60,0.001,adam
15,1.0,0.0,0.0,0.0,20250428_043701,DNN,Potencia por banda γ,LOOCV,32,60,0.001,adam
16,0.0,1.0,1.0,1.0,20250428_043701,DNN,Potencia por banda γ,LOOCV,32,60,0.001,adam
17,1.0,1.0,1.0,1.0,20250428_043701,DNN,Potencia por banda γ,LOOCV,32,60,0.001,adam
18,1.0,1.0,1.0,1.0,20250428_043701,DNN,Potencia por banda γ,LOOCV,32,60,0.001,adam
19,0.0,0.0,0.0,0.0,20250428_043701,DNN,Potencia por banda γ,LOOCV,32,60,0.001,adam
20,1.0,1.0,1.0,1.0,20250428_043701,DNN,Potencia por banda γ,LOOCV,32,60,0.001,adam
21,0.0,0.0,0.0,0.0,20250428_043701,DNN,Potencia por banda γ,LOOCV,32,60,0.001,adam
22,1.0,1.0,1.0,1.0,20250428_043701,DNN,Potencia por banda γ,LOOCV,32,60,0.001,adam
23,1.0,1.0,1.0,1.0,20250428_043701,DNN,Potencia por banda γ,LOOCV,32,60,0.001,adam
24,0.0,0.0,0.0,0.0,20250428_043701,DNN,Potencia por banda γ,LOOCV,32,60,0.001,adam
25,1.0,1.0,1.0,1.0,20250428_043701,DNN,Potencia por banda γ,LOOCV,32,60,0.001,adam
26,1.0,1.0,1.0,1.0,20250428_043701,DNN,Potencia por banda γ,LOOCV,32,60,0.001,adam
27,1.0,1.0,1.0,1.0,20250428_043701,DNN,Potencia por banda γ,LOOCV,32,60,0.001,adam
28,0.0,0.0,0.0,0.0,20250428_043701,DNN,Potencia por banda γ,LOOCV,32,60,0.001,adam
29,1.0,1.0,1.0,1.0,20250428_043701,DNN,Potencia por banda γ,LOOCV,32,60,0.001,adam
30,1.0,1.0,1.0,1.0,20250428_043701,DNN,Potencia por banda γ,LOOCV,32,60,0.001,adam
31,0.0,0.0,0.0,0.0,20250428_043701,DNN,Potencia por banda γ,LOOCV,32,60,0.001,adam
