Fold,Accuracy,Precision,Recall,F1-Score,Timestamp,Modelo,Tipo_preprocesamiento,Metodo_validacion,batch_size,epochs,lr,opt
0,0.3870967741935484,0.3870967741935484,0.3870967741935484,0.3870967741935484,20250425_033056,DNN,Potencias relativas,LOOCV,32,60,0.001,adam
1,1.0,0.0,0.0,0.0,20250425_033056,DNN,Potencias relativas,LOOCV,32,60,0.001,adam
2,0.0,0.0,0.0,0.0,20250425_033056,DNN,Potencias relativas,LOOCV,32,60,0.001,adam
3,1.0,0.0,0.0,0.0,20250425_033056,DNN,Potencias relativas,LOOCV,32,60,0.001,adam
4,1.0,0.0,0.0,0.0,20250425_033056,DNN,Potencias relativas,LOOCV,32,60,0.001,adam
5,1.0,0.0,0.0,0.0,20250425_033056,DNN,Potencias relativas,LOOCV,32,60,0.001,adam
6,0.0,0.0,0.0,0.0,20250425_033056,DNN,Potencias relativas,LOOCV,32,60,0.001,adam
7,0.0,0.0,0.0,0.0,20250425_033056,DNN,Potencias relativas,LOOCV,32,60,0.001,adam
8,0.0,0.0,0.0,0.0,20250425_033056,DNN,Potencias relativas,LOOCV,32,60,0.001,adam
9,0.0,0.0,0.0,0.0,20250425_033056,DNN,Potencias relativas,LOOCV,32,60,0.001,adam
10,0.0,0.0,0.0,0.0,20250425_033056,DNN,Potencias relativas,LOOCV,32,60,0.001,adam
11,1.0,0.0,0.0,0.0,20250425_033056,DNN,Potencias relativas,LOOCV,32,60,0.001,adam
12,0.0,0.0,0.0,0.0,20250425_033056,DNN,Potencias relativas,LOOCV,32,60,0.001,adam
13,1.0,0.0,0.0,0.0,20250425_033056,DNN,Potencias relativas,LOOCV,32,60,0.001,adam
14,0.0,0.0,0.0,0.0,20250425_033056,DNN,Potencias relativas,LOOCV,32,60,0.001,adam
15,1.0,0.0,0.0,0.0,20250425_033056,DNN,Potencias relativas,LOOCV,32,60,0.001,adam
16,0.0,0.0,0.0,0.0,20250425_033056,DNN,Potencias relativas,LOOCV,32,60,0.001,adam
17,1.0,1.0,1.0,1.0,20250425_033056,DNN,Potencias relativas,LOOCV,32,60,0.001,adam
18,1.0,1.0,1.0,1.0,20250425_033056,DNN,Potencias relativas,LOOCV,32,60,0.001,adam
19,1.0,1.0,1.0,1.0,20250425_033056,DNN,Potencias relativas,LOOCV,32,60,0.001,adam
20,1.0,1.0,1.0,1.0,20250425_033056,DNN,Potencias relativas,LOOCV,32,60,0.001,adam
21,0.0,1.0,1.0,1.0,20250425_033056,DNN,Potencias relativas,LOOCV,32,60,0.001,adam
22,0.0,1.0,1.0,1.0,20250425_033056,DNN,Potencias relativas,LOOCV,32,60,0.001,adam
23,0.0,1.0,1.0,1.0,20250425_033056,DNN,Potencias relativas,LOOCV,32,60,0.001,adam
24,0.0,1.0,1.0,1.0,20250425_033056,DNN,Potencias relativas,LOOCV,32,60,0.001,adam
25,0.0,0.0,0.0,0.0,20250425_033056,DNN,Potencias relativas,LOOCV,32,60,0.001,adam
26,0.0,0.0,0.0,0.0,20250425_033056,DNN,Potencias relativas,LOOCV,32,60,0.001,adam
27,1.0,1.0,1.0,1.0,20250425_033056,DNN,Potencias relativas,LOOCV,32,60,0.001,adam
28,0.0,1.0,1.0,1.0,20250425_033056,DNN,Potencias relativas,LOOCV,32,60,0.001,adam
29,0.0,1.0,1.0,1.0,20250425_033056,DNN,Potencias relativas,LOOCV,32,60,0.001,adam
30,0.0,0.0,0.0,0.0,20250425_033056,DNN,Potencias relativas,LOOCV,32,60,0.001,adam
31,0.0,1.0,1.0,1.0,20250425_033056,DNN,Potencias relativas,LOOCV,32,60,0.001,adam
