Fold,Accuracy,Precision,Recall,F1-Score,Timestamp,Modelo,Tipo_preprocesamiento,Metodo_validacion,batch_size,epochs,lr,opt
0,0.5161290322580645,0.3870967741935484,0.3870967741935484,0.3870967741935484,20250422_184421,DNN,Características temporales y espectrales (señal filtrada con notch),LOOCV,32,60,0.001,adam
1,0.0,0.0,0.0,0.0,20250422_184421,DNN,Características temporales y espectrales (señal filtrada con notch),LOOCV,32,60,0.001,adam
2,1.0,0.0,0.0,0.0,20250422_184421,DNN,Características temporales y espectrales (señal filtrada con notch),LOOCV,32,60,0.001,adam
3,1.0,0.0,0.0,0.0,20250422_184421,DNN,Características temporales y espectrales (señal filtrada con notch),LOOCV,32,60,0.001,adam
4,0.0,0.0,0.0,0.0,20250422_184421,DNN,Características temporales y espectrales (señal filtrada con notch),LOOCV,32,60,0.001,adam
5,1.0,0.0,0.0,0.0,20250422_184421,DNN,Características temporales y espectrales (señal filtrada con notch),LOOCV,32,60,0.001,adam
6,0.0,0.0,0.0,0.0,20250422_184421,DNN,Características temporales y espectrales (señal filtrada con notch),LOOCV,32,60,0.001,adam
7,1.0,0.0,0.0,0.0,20250422_184421,DNN,Características temporales y espectrales (señal filtrada con notch),LOOCV,32,60,0.001,adam
8,1.0,0.0,0.0,0.0,20250422_184421,DNN,Características temporales y espectrales (señal filtrada con notch),LOOCV,32,60,0.001,adam
9,1.0,0.0,0.0,0.0,20250422_184421,DNN,Características temporales y espectrales (señal filtrada con notch),LOOCV,32,60,0.001,adam
10,1.0,0.0,0.0,0.0,20250422_184421,DNN,Características temporales y espectrales (señal filtrada con notch),LOOCV,32,60,0.001,adam
11,1.0,0.0,0.0,0.0,20250422_184421,DNN,Características temporales y espectrales (señal filtrada con notch),LOOCV,32,60,0.001,adam
12,0.0,0.0,0.0,0.0,20250422_184421,DNN,Características temporales y espectrales (señal filtrada con notch),LOOCV,32,60,0.001,adam
13,0.0,0.0,0.0,0.0,20250422_184421,DNN,Características temporales y espectrales (señal filtrada con notch),LOOCV,32,60,0.001,adam
14,0.0,0.0,0.0,0.0,20250422_184421,DNN,Características temporales y espectrales (señal filtrada con notch),LOOCV,32,60,0.001,adam
15,0.0,0.0,0.0,0.0,20250422_184421,DNN,Características temporales y espectrales (señal filtrada con notch),LOOCV,32,60,0.001,adam
16,0.0,1.0,1.0,1.0,20250422_184421,DNN,Características temporales y espectrales (señal filtrada con notch),LOOCV,32,60,0.001,adam
17,1.0,1.0,1.0,1.0,20250422_184421,DNN,Características temporales y espectrales (señal filtrada con notch),LOOCV,32,60,0.001,adam
18,1.0,1.0,1.0,1.0,20250422_184421,DNN,Características temporales y espectrales (señal filtrada con notch),LOOCV,32,60,0.001,adam
19,0.0,0.0,0.0,0.0,20250422_184421,DNN,Características temporales y espectrales (señal filtrada con notch),LOOCV,32,60,0.001,adam
20,0.0,1.0,1.0,1.0,20250422_184421,DNN,Características temporales y espectrales (señal filtrada con notch),LOOCV,32,60,0.001,adam
21,0.0,0.0,0.0,0.0,20250422_184421,DNN,Características temporales y espectrales (señal filtrada con notch),LOOCV,32,60,0.001,adam
22,1.0,1.0,1.0,1.0,20250422_184421,DNN,Características temporales y espectrales (señal filtrada con notch),LOOCV,32,60,0.001,adam
23,0.0,0.0,0.0,0.0,20250422_184421,DNN,Características temporales y espectrales (señal filtrada con notch),LOOCV,32,60,0.001,adam
24,1.0,1.0,1.0,1.0,20250422_184421,DNN,Características temporales y espectrales (señal filtrada con notch),LOOCV,32,60,0.001,adam
25,0.0,1.0,1.0,1.0,20250422_184421,DNN,Características temporales y espectrales (señal filtrada con notch),LOOCV,32,60,0.001,adam
26,1.0,1.0,1.0,1.0,20250422_184421,DNN,Características temporales y espectrales (señal filtrada con notch),LOOCV,32,60,0.001,adam
27,1.0,1.0,1.0,1.0,20250422_184421,DNN,Características temporales y espectrales (señal filtrada con notch),LOOCV,32,60,0.001,adam
28,0.0,1.0,1.0,1.0,20250422_184421,DNN,Características temporales y espectrales (señal filtrada con notch),LOOCV,32,60,0.001,adam
29,1.0,1.0,1.0,1.0,20250422_184421,DNN,Características temporales y espectrales (señal filtrada con notch),LOOCV,32,60,0.001,adam
30,1.0,1.0,1.0,1.0,20250422_184421,DNN,Características temporales y espectrales (señal filtrada con notch),LOOCV,32,60,0.001,adam
31,0.0,0.0,0.0,0.0,20250422_184421,DNN,Características temporales y espectrales (señal filtrada con notch),LOOCV,32,60,0.001,adam
